Log file created at: 2024/05/11 12:20:00
Running on machine: YBW
Running duration (h:mm:ss): 0:00:00
Log line format: [IWEF]yyyymmdd hh:mm:ss.uuuuuu threadid file:line] msg
I20240511 12:20:00.247011  6304 core_module.cc:20] registering core components.
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: config_builder
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: config
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: schema
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: user_config
I20240511 12:20:00.249006  6304 dict_module.cc:25] registering components from module 'dict'.
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: tabledb
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: stabledb
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: plain_userdb
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: userdb
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: corrector
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: dictionary
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: reverse_lookup_dictionary
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: user_dictionary
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: userdb_recovery_task
I20240511 12:20:00.249006  6304 levers_module.cc:22] registering components from module 'levers'.
I20240511 12:20:00.249006  6304 registry.cc:14] registering component: detect_modifications
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: installation_update
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: workspace_update
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: schema_update
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: config_file_update
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: prebuild_all_schemas
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: user_dict_upgrade
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: cleanup_trash
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: user_dict_sync
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: backup_config_files
I20240511 12:20:00.250003  6304 registry.cc:14] registering component: clean_old_log_files
I20240511 12:20:00.269455  6304 deployment_tasks.cc:85] updating rime installation info.
I20240511 12:20:00.270453  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\installation.yaml'.
I20240511 12:20:00.270453  6304 deployment_tasks.cc:103] installation info exists. installation id: 2f2594ca-3d2a-4e7d-a7e6-2dcf30c4fd38
I20240511 12:20:00.270453  6304 deployment_tasks.cc:114] sync dir: D:\Personal\OneDrive\Programm\Rime\sync
I20240511 12:20:00.270453  6304 deployment_tasks.cc:116] previous distribution: Weasel
I20240511 12:20:00.270453  6304 deployment_tasks.cc:119] previous distribution version: 0.15.1.0
I20240511 12:20:00.270453  6304 deployment_tasks.cc:122] previous Rime version: 1.11.0
I20240511 12:20:00.270453  6304 deployment_tasks.cc:165] updating workspace.
I20240511 12:20:00.271450  6304 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\default.yaml'.
I20240511 12:20:00.272447  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.yaml'.
I20240511 12:20:00.276436  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\default.yaml'.
I20240511 12:20:00.279429  6304 deployment_tasks.cc:421] source file changed: D:\Personal\OneDrive\Programm\Rime\default.yaml
I20240511 12:20:00.279429  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.yaml'.
I20240511 12:20:00.283418  6304 auto_patch_config_plugin.cc:29] auto-patch default:/__patch: default.custom:/patch?
I20240511 12:20:00.283418  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.custom.yaml'.
I20240511 12:20:00.284415  6304 config_compiler.cc:214] patching key_binder/bindings/+
I20240511 12:20:00.284415  6304 config_compiler.cc:214] patching menu
I20240511 12:20:00.284415  6304 config_compiler.cc:214] patching schema_list
I20240511 12:20:00.300372  6304 config_compiler.cc:537] resolved: Patch(default.custom:patch <optional>)
I20240511 12:20:00.301370  6304 config_data.cc:91] saving config file 'D:\Personal\OneDrive\Programm\Rime\build\default.yaml'.
I20240511 12:20:00.307840  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\default.yaml'.
I20240511 12:20:00.311353  6304 deployment_tasks.cc:188] updating schemas.
I20240511 12:20:00.311353  6304 deployment_tasks.cc:197] schema: double_pinyin_flypy
